name,chineseName,price,description,category,chineseCategory,location,id,foodCategory,img_url
Mango Yogurt ,芒果多多,5.75,,Yogurt,鲜果多多,3,31,drink,https://wwvlemerrmdrbopunhwq.supabase.co/storage/v1/object/public/menu_img/Food_Images/Mango_Pomelo_Sago.jpg
Miso Ramen,,14.95,"Poke chashu, sweet corn, menma, egg, seaweed, naruto fish cake, green onion, ginger",Tokyo Ramen,,2,132,toppings,https://wwvlemerrmdrbopunhwq.supabase.co/storage/v1/object/public/menu_img/Food_Images/Matcha_Latte.jpg?t=2023-10-26T21%3A04%3A23.965Z
Oreo Garden Milk Tea,盆栽奶茶,6.5,"Black Milk Tea with Whipped Cream, topped with Oreo Crumbs",Milk Tea,奶茶,3,17,drink,https://wwvlemerrmdrbopunhwq.supabase.co/storage/v1/object/public/menu_img/Food_Images/Oreo_Garden_Milk_Tea.jpg?t=2023-10-26T21%3A05%3A47.104Z
Oreo Milkshake ,奥利奥可可冰,6.95,,Face Tea Special,肥宅特饮,3,64,drink,https://wwvlemerrmdrbopunhwq.supabase.co/storage/v1/object/public/menu_img/Food_Images/Oreo_Milkshake.jpg?t=2023-10-26T21%3A05%3A55.823Z
Passion Fruit Smoothie,百香果冰沙,5.75,,Smoothie,冰沙,3,35,drink,https://wwvlemerrmdrbopunhwq.supabase.co/storage/v1/object/public/menu_img/Food_Images/Passion_Fruit_Smoothie.jpg
Peach Oolong Tea w/ Cheese Foam ,白桃乌龙,5.75,,Freshly Brewed Tea w. Cheese Foam,芝士奶盖现萃茶,3,27,drink,https://wwvlemerrmdrbopunhwq.supabase.co/storage/v1/object/public/menu_img/Food_Images/Peach_Oolong_Tea_W.cheese_Foam.jpg
Pineapple Smoothie,菠萝冰沙,5.75,,Smoothie,冰沙,3,36,drink,https://wwvlemerrmdrbopunhwq.supabase.co/storage/v1/object/public/menu_img/Food_Images/Pineapple_Smoothie.jpg?t=2023-10-26T21%3A07%3A09.627Z
Popcorn Chicken ,盐酥鸡,6.75,,Snacks,小吃,3,79,food,https://wwvlemerrmdrbopunhwq.supabase.co/storage/v1/object/public/menu_img/Food_Images/Popcorn_Chicken.jpg?t=2023-10-26T21%3A07%3A35.537Z
Taro Milk Tea,芋香奶茶,5.5,,Milk Tea,奶茶,3,4,drink,https://wwvlemerrmdrbopunhwq.supabase.co/storage/v1/object/public/menu_img/Food_Images/Taro_Milk_Tea.jpg?t=2023-10-26T21%3A08%3A44.659Z
Rose Milk Tea,玫瑰奶茶,5.5,,Milk Tea,奶茶,3,7,drink,https://wwvlemerrmdrbopunhwq.supabase.co/storage/v1/object/public/menu_img/Food_Images/Rose_Milk_Tea.jpg?t=2023-10-26T21%3A09%3A04.687Z
Roasted Oolong Milk Tea,碳培乌龙奶茶,5.5,,Milk Tea,奶茶,3,3,drink,https://wwvlemerrmdrbopunhwq.supabase.co/storage/v1/object/public/menu_img/Food_Images/Roasted_Oolong_Milk_Tea.jpg?t=2023-10-26T21%3A09%3A32.478Z
Sakura-berry Milk Tea,樱花莓莓,6.95,Strawberry and Cherry Blossom Milk Tea with Whipped Cream and Sprinkles,Milk Tea,奶茶,3,19,drink,https://wwvlemerrmdrbopunhwq.supabase.co/storage/v1/object/public/menu_img/Food_Images/Sakura-berry_Milk_Tea.jpg?t=2023-10-26T21%3A10%3A16.309Z
Strawberry Smoothie,草莓冰沙,5.75,,Smoothie,冰沙,3,34,drink,https://wwvlemerrmdrbopunhwq.supabase.co/storage/v1/object/public/menu_img/Food_Images/Strawberry_Smoothie.jpg?t=2023-10-26T21%3A10%3A54.648Z
Thai Tea Smoothie,泰式冰沙,5.75,,Smoothie,冰沙,3,38,drink,https://wwvlemerrmdrbopunhwq.supabase.co/storage/v1/object/public/menu_img/Food_Images/Thai_Tea_Smoothie.jpg
Sunrise Lemon Tea ,日出印象,6.25,,Fruit Tea,水果茶,3,47,drink,https://wwvlemerrmdrbopunhwq.supabase.co/storage/v1/object/public/menu_img/Food_Images/Sunrise_Lemon_Tea.jpg?t=2023-10-26T21%3A12%3A04.997Z
Strawberry Blossom ,草莓罗勒乌龙,6.5,Strawberry Oolong Tea w/ sliced strawberries and bay leaf,Face Tea Special,肥宅特饮,3,56,drink,https://wwvlemerrmdrbopunhwq.supabase.co/storage/v1/object/public/menu_img/Food_Images/Strawberry_Blossom.jpg?t=2023-10-26T21%3A12%3A52.995Z
Tropical Paradise ,火龙果芒芒,6.5,Mango dragonfruit lemon tea,Face Tea Special,肥宅特饮,3,71,drink,https://wwvlemerrmdrbopunhwq.supabase.co/storage/v1/object/public/menu_img/Food_Images/Summer_Dream.jpg?t=2023-10-26T21%3A13%3A14.214Z
